age,correct_choice_id,inference_choice_id
78,1,1
71,1,1
26,2,2
33,2,2
13,2,2
15,2,2
55,1,1
52,1,1
21,2,2
57,1,1
75,1,1
49,1,1
57,1,1
71,1,1
46,1,1
37,2,2
10,2,2
51,1,1
26,2,2
21,2,2
32,2,2
35,2,2
47,1,1
80,1,1
10,2,2
15,2,2
63,1,1
44,2,2
21,2,2
67,1,1
38,2,2
15,2,2
12,2,2
63,1,1
36,2,2
55,1,1
52,1,1
70,1,1
62,1,1
29,2,2
69,1,1
52,1,1
18,2,2
52,1,1
68,1,1
23,2,2
74,1,1
44,2,2
29,2,2
60,1,1
72,1,1
69,1,1
51,1,1
61,1,1
19,2,2
44,2,2
26,2,2
59,1,1
59,1,1
24,2,2
62,1,1
42,2,2
23,2,2
16,2,2
10,2,2
24,2,2
47,1,1
80,1,1
24,2,2
73,1,1
39,2,2
27,2,2
14,2,2
70,1,1
57,1,1
57,1,1
36,2,2
56,1,1
58,1,1
17,2,2
61,1,1
71,1,1
47,1,1
21,2,2
64,1,1
26,2,2
18,2,2
60,1,1
54,1,1
23,2,2
59,1,1
75,1,1
61,1,1
42,2,2
15,2,2
15,2,2
30,2,2
75,1,1
17,2,2
39,2,2
