age,sex,correct_choice_id,inference_choice_id
11,male,3,3
54,male,1,1
73,female,2,2
57,female,2,2
15,male,3,3
54,female,2,2
69,female,2,2
39,male,3,3
55,female,2,2
13,male,3,3
35,female,4,4
35,male,3,3
67,male,1,3
76,female,2,2
60,female,2,2
67,female,2,2
58,female,2,2
71,female,2,2
26,male,3,3
64,female,2,2
61,male,1,1
10,female,4,4
55,female,2,2
23,male,3,3
67,female,2,2
55,female,2,2
60,male,1,1
52,female,2,2
40,male,3,3
14,female,4,4
14,male,3,3
78,female,2,2
59,female,2,2
36,female,4,4
22,male,3,3
59,male,1,1
30,male,3,3
79,female,2,2
22,male,3,3
75,female,2,2
60,male,1,1
48,female,2,2
76,female,2,2
70,female,2,2
10,male,3,3
60,male,1,1
28,female,4,4
30,female,4,4
27,male,3,3
61,female,2,2
16,female,4,4
79,male,1,1
34,male,3,3
79,male,1,1
48,male,1,1
17,female,4,4
28,male,3,3
60,male,1,1
34,female,4,4
28,female,4,45
56,female,2,2
39,male,3,3
19,female,4,4
67,male,1,1
54,female,2,2
36,female,4,4
48,female,2,2
75,female,2,2
76,male,1,1
34,male,3,3
26,female,4,4
49,male,1,1
36,female,4,4
64,female,2,2
33,male,3,3
69,male,1,1
18,male,3,3
21,male,3,3
10,female,4,4
62,female,2,2
41,female,4,4
21,female,4,4
18,male,3,3
53,male,1,3
72,female,2,2
29,male,3,3
56,male,1,1
58,female,2,2
79,male,1,3
79,female,2,2
74,female,2,2
75,male,1,3
12,female,4,4
65,male,1,1
34,male,3,3
51,male,1,1
49,female,2,2
41,female,4,2
19,male,3,3
51,female,2,2
