age,sex,height,correct_choice_id,inference_choice_id
41,male,181,5,5
26,female,192,7,7
37,female,143,8,8
31,female,150,8,8
53,male,207,1,5
17,male,131,6,6
79,female,192,3,3
17,male,183,5,2
17,male,133,6,6
13,female,178,7,7
80,male,160,2,5
15,male,179,5,6
20,male,178,5,5
59,male,134,2,8
37,male,134,6,5
15,male,195,5,5
24,female,209,7,8
63,male,179,1,1
78,male,164,2,4
64,male,136,2,4
60,male,155,2,4
51,female,156,4,4
26,male,159,6,6
22,male,166,6,5
64,male,181,1,5
19,male,166,6,5
69,male,162,2,8
46,male,177,1,5
46,male,156,2,6
57,male,141,2,8
12,female,179,7,8
68,female,195,3,3
34,male,136,6,6
23,female,181,7,7
15,female,201,7,8
13,female,185,7,8
16,female,146,8,8
66,female,188,3,3
49,female,133,4,8
42,male,166,6,6
19,female,191,7,8
44,female,190,7,7
63,female,147,4,4
79,male,160,2,8
60,male,208,1,60
71,female,209,3,4
80,female,171,3,3
51,female,169,4,4
35,male,133,6,6
16,male,193,5,5
76,male,180,1,5
10,female,145,8,8
37,male,130,6,6
11,female,153,8,8
26,female,144,8,8
53,male,137,2,5
19,female,140,8,8
78,male,177,1,1
79,male,198,1,1
35,male,141,6,5
55,male,183,1,1
46,female,138,4,4
71,male,134,2,2
41,male,167,6,5
63,female,184,3,3
29,male,181,5,5
29,male,164,6,5
44,female,204,7,7
52,female,141,4,4
43,female,186,7,3
41,female,156,8,8
44,male,167,6,5
60,male,167,2,5
64,male,190,1,1
17,female,141,8,8
10,female,145,8,8
62,male,200,1,1
70,male,164,2,1
72,male,171,1,1
10,female,160,8,8
75,female,209,3,4
64,female,152,4,4
61,male,142,2,6
50,male,207,1,1
33,female,197,7,5
50,female,159,4,4
33,female,167,8,7
28,female,208,7,8
18,male,160,6,6
23,male,161,6,6
10,female,150,8,8
16,male,181,5,8
46,female,169,4,3
31,male,179,5,5
18,female,150,8,8
77,male,176,1,1
52,male,198,1,5
37,male,184,5,5
25,male,137,6,6
49,male,208,1,5
