age,sex,height,weight,correct_choice_id,inference_choice_id
48,female,167,61,7,7
25,male,192,31,10,12
59,female,205,41,6,7
13,male,152,93,11,6
35,male,206,33,10,10
77,male,167,48,4,4
51,male,145,87,3,1
59,male,181,77,1,1
80,female,203,22,6,8
80,female,196,58,6,7
48,female,198,59,6,7
46,male,155,59,4,1
30,male,177,21,10,10
15,male,182,84,9,10
23,male,184,30,10,12
71,female,166,48,8,7
65,male,155,32,4,12
70,female,187,49,6,8
64,male,189,75,1,9
25,female,195,48,14,14
60,male,131,80,3,12
42,male,179,21,10,12
59,female,131,43,8,8
62,female,201,77,5,7
60,female,148,91,7,7
72,female,150,52,8,9
14,male,150,39,12,11
58,female,191,90,5,7
48,female,135,89,7,8
30,female,132,56,16,14
49,male,162,80,3,1
35,female,187,65,13,9
12,male,159,65,11,10
51,male,171,93,1,1
57,female,195,45,6,7
53,female,172,82,5,5
75,male,178,36,2,12
79,male,208,29,2,12
53,female,176,59,6,5
75,female,145,36,8,8
71,male,182,65,1,7
27,male,142,82,11,9
18,male,207,35,10,10
38,female,196,52,14,15
49,female,200,57,6,7
14,male,192,33,10,12
64,female,137,84,7,7
18,male,165,40,12,10
67,male,167,25,4,7
71,male,182,65,1,1
58,male,185,35,2,1
52,male,189,72,1,1
23,male,130,40,12,10
24,female,174,53,14,10
58,female,194,43,6,7
59,female,202,28,6,15
70,female,152,39,8,8
23,male,153,66,11,10
12,male,185,20,10,7
17,male,140,75,11,12
68,male,199,23,2,1
18,male,130,47,12,12
53,male,130,20,4,12
39,male,139,64,11,4
28,male,130,66,11,1
19,male,186,37,10,10
33,male,163,21,12,12
43,female,138,98,15,8
57,male,153,49,4,1
48,male,165,71,3,4
34,male,167,98,11,10
60,female,156,66,7,7
14,female,140,74,15,16
50,male,135,99,3,8
22,male,200,45,10,12
10,female,193,95,13,16
26,male,137,79,11,10
43,male,152,26,12,12
15,female,179,64,13,15
54,female,158,64,7,9
13,male,138,63,11,10
12,male,180,95,9,10
65,male,209,29,2,12
65,female,156,82,7,7
56,male,152,41,4,4
61,female,183,80,5,7
53,female,163,87,7,8
58,male,150,83,3,3
23,female,205,40,14,16
50,female,165,36,8,8
70,female,173,98,5,8
11,male,200,40,10,10
52,male,185,73,1,1
20,female,136,53,16,16
65,female,139,35,8,8
79,male,155,82,3,4
64,male,147,62,3,3
19,female,156,98,15,13
13,male,139,94,11,12
60,female,190,65,5,7
